CC	CC Nombre	Región	Colonia	Delegacion_ Municipio	Ciudad	Estado
38101	Angel	Centro Centro	Cuahtemoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38103	Aguilas	Centro Poniente	Los Alpes	Álvaro Obregón 	Ciudad De México	Ciudad De México
38104	Olivar	Centro Poniente	Olivar De Los Padres 	Álvaro Obregón 	Ciudad De México	Ciudad De México
38106	Prado Norte	Centro Poniente	Lomas De Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38107	Pedregal	Centro Sur	Jardínes Del Pedregal	Álvaro Obregón 	Ciudad De México	Ciudad De México
38108	Campos Eliseos	Centro Centro	Polanco	Miguel Hidalgo	Ciudad De México	Ciudad De México
38109	Wtc	Centro Centro	Napoles	Benito Juárez	Ciudad De México	Ciudad De México
38110	Torre Mayor	Centro Centro	Cuahtemoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38111	Masarik 	Centro Centro	Polanco	Miguel Hidalgo	Ciudad De México	Ciudad De México
38112	Insurgentes Parroquia	Centro Poniente	Insurgentes Mixcoac	Benito Juárez	Ciudad De México	Ciudad De México
38113	Juan Pablo II	Centro Sur	Guadalupe Inn	Álvaro Obregón 	Ciudad De México	Ciudad De México
38114	Miramontes	Centro Sur	Los Girasoles	Coyoacán	Ciudad De México	Ciudad De México
38115	Zona Azul	Centro Norte	Satelite 	Naucalpan 	Estado De México	Estado De México
38116	Santa Teresa	Centro Sur	Heroes De Padierna	Tlalpan	Ciudad De México	Ciudad De México
38117	Satelite 	Centro Norte	Satelite 	Naucalpan 	Estado De México	Estado De México
38118	Corporativo Polanco	Centro Centro	Los Morales Polanco	Miguel Hidalgo	Ciudad De México	Ciudad De México
38119	Lomas Verdes 	Centro Norte	Lomas Verdes 	Naucalpan 	Estado De México	Estado De México
38121	Herradura	Centro Poniente	Herradura	Huixquilucan	Estado De México	Estado De México
38122	Santa Fe	Centro Poniente	Centro Ciudad Santa Fe	Álvaro Obregón 	Ciudad De México	Ciudad De México
38123	Plaza Alameda	Centro Centro	Centro	Cuauhtémoc	Ciudad De México	Ciudad De México
38124	San Jeronimo	Centro Sur	San Jerónimo Líndice	Magdalena Contreras	Ciudad De México	Ciudad De México
38126	Interlomas	Centro Poniente	Lomas De Las Palmas 	Huixquilucan	Estado De México	Estado De México
38128	Condesa 	Centro Centro	Condesa	Cuauhtémoc	Ciudad De México	Ciudad De México
38129	Plaza Santa Teresa	Centro Sur	Jardínes Del Pedregal	Álvaro Obregón 	Ciudad De México	Ciudad De México
38131	Tepepan	Centro Sur	Tepepan	Tlalpan	Ciudad De México	Ciudad De México
38133	Vista Hermosa Cuernavaca	Sur	Vista Hermosa	Cuernavaca	Cuernavaca	Morelos
38134	Pilares	Centro Sur	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38135	Monte Everest	Centro Poniente	Lomas De Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38136	Punta Norte	Centro Norte	Cuatitlan Izcalli 	Cuatitlan Izcalli 	Estado De México	Estado De México
38137	Midtown Jalisco PA	Occidente	Italia Providencia	Guadalajara	Guadalajara	Jalisco
38138	Galerias metepec 1	Centro Poniente	Barrio De Coaxustenco	Metepec	Toluca	Estado De México
38139	Plaza Inn	Centro Sur	Guadalupe Inn	Álvaro Obregón 	Ciudad De México	Ciudad De México
38141	Plaza Mayor Metepec 	Centro Poniente	Metepec 	Metepec	Toluca	Estado De México
38142	Zona Esmeralda	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
